1,Bruno Mars, Anderson .Paak & Silk Sonic,Leave The Door Open
2,Justin Bieber,Peaches
3,Kali Uchis,telepatía
4,Masked Wolf,Astronaut In The Ocean
5,Bad Bunny & Jhay Cortez,DÁKITI
6,Lil Tjay & 6LACK,Calling My Phone
7,The Weeknd,Save Your Tears
8,GIVEON,HEARTBREAK ANNIVERSARY
9,G-Eazy,Provide
10,Saweetie,Best Friend
11,Olivia Rodrigo,drivers license
12,Yung Bleu,You’re Mines Still
13,Blxst,Overrated
14,The Kid LAROI,WITHOUT YOU
15,The Hollies,The Air That I Breathe
16,Fat Joe, DJ Khaled & Amorphous,Sunshine (The Light)
17,Cardi B,Up
18,Doja Cat,Kiss Me More
19,Lil Nas X,MONTERO (Call Me By Your Name)
20,Black Eyed Peas & Shakira,GIRL LIKE ME
21,Myke Towers & Juhn,Bandido
22,Drake,Wants and Needs
23,Morray,Quicksand
24,Pop Smoke,What You Know Bout Love
25,Mooski,Track Star
26,Chris Brown & Young Thug,Go Crazy
27,Drake,What's Next
28,Ariana Grande,pov
29,Maroon 5 & Megan Thee Stallion,Beautiful Mistakes
30,Pop Smoke,Hello
31,SZA,Good Days
32,Glass Animals,Heat Waves
33,Pop Smoke,For The Night
34,Black Pumas,Colors
35,Tate McRae,you broke me first
36,Coi Leray,No More Parties (Remix)
38,Travis Scott & HVME,Goosebumps (Remix)
39,Olivia Rodrigo,deja vu
40,42 Dugg & Roddy Ricch,4 Da Gang
41,Megan Thee Stallion,Cry Baby
42,Banda MS de Sergio Lizárraga,La Casita
43,Mel Torme,Comin' Home Baby
44,AURORA,Runaway
45,Dua Lipa,We're Good
46,Machine Gun Kelly & blackbear,my ex's best friend
47,DMX,Ruff Ryders' Anthem
48,Yot Club,Ykwim?
49,Ava Max,My Head & My Heart
50,Camilo,Vida de Rico
