1,Bruno Mars, Anderson .Paak & Silk Sonic,Leave The Door Open
2,Mooski,Track Star
3,Justin Bieber,Peaches
4,Yung Bleu,You’re Mines Still
5,Lil Tjay & 6LACK,Calling My Phone
6,Pop Smoke,Hello
7,Masked Wolf,Astronaut In The Ocean
8,GIVĒON,HEARTBREAK ANNIVERSARY
9,Olivia Rodrigo,drivers license
10,DMX,Slippin'
11,Coi Leray,No More Parties (Remix)
12,Drake,Wants and Needs
13,DMX,Ruff Ryders' Anthem
14,Ava Max,My Head & My Heart
15,Fat Joe, DJ Khaled & Amorphous,Sunshine (The Light)
16,The Weeknd,Save Your Tears
17,Bad Bunny & Jhay Cortez,DÁKITI
18,Tate McRae,you broke me first
19,Dua Lipa,We're Good
20,Maroon 5 & Megan Thee Stallion,Beautiful Mistakes
21,Lil Nas X,MONTERO (Call Me By Your Name)
22,Dua Lipa,Levitating
23,DMX,How's It Goin' Down
24,Drake,What's Next
25,Tiësto,The Business
26,The Kid LAROI,WITHOUT YOU
27,Funkmaster Flex & Rowdy Rebel,Re Route
28,SZA,Good Days
29,Cardi B,Up
30,Kali Uchis,telepatía
31,Pop Smoke,AP
32,DMX,It's All Good
33,DMX,Party Up
34,CJ,Whoopty
35,H.E.R.,Damage
36,Sleepy Hallow,2 Sauce
37,Naika,Sauce
38,DaBaby,Masterpiece
39,Black Eyed Peas & Shakira,GIRL LIKE ME
40,Chris Brown & Young Thug,Go Crazy
41,Myke Towers & Juhn,Bandido
42,Lil Tjay,Run It Up
43,SpotemGottem,Beat Box
44,Lil Baby,On Me
45,Glass Animals,Heat Waves
46,CJ,Whoopty NYC
47,Rauw Alejandro & Anuel AA,Reloj
48,Los Legendarios, Wisin & Jhay Cortez,Fiel
49,Machine Gun Kelly & blackbear,my ex's best friend
50,Ritt Momney,Put Your Records On
