1,Bruno Mars, Anderson .Paak & Silk Sonic,Leave The Door Open
2,Olivia Rodrigo,drivers license
3,Lil Tjay & 6LACK,Calling My Phone
4,Masked Wolf,Astronaut In The Ocean
5,Bad Bunny & Jhay Cortez,DÁKITI
6,Kali Uchis,telepatía
7,Drake,What's Next
8,The Weeknd,Save Your Tears
9,Yung Bleu,You’re Mines Still
10,G-Eazy,Provide
11,Cardi B,Up
12,The Kid LAROI,WITHOUT YOU
13,Doja Cat,Streets
14,Fat Joe, DJ Khaled & Amorphous,Sunshine (The Light)
15,Ava Max,My Head & My Heart
16,Tate McRae,you broke me first
17,Saweetie,Best Friend
18,Pop Smoke,What You Know Bout Love
19,H.E.R.,Damage
20,Maroon 5 & Megan Thee Stallion,Beautiful Mistakes
21,Ritt Momney,Put Your Records On
22,Drake,Wants and Needs
23,All Time Low,Monsters
24,Machine Gun Kelly & blackbear,my ex's best friend
25,CJ,Whoopty
26,Blxst,Overrated
27,GIVĒON,HEARTBREAK ANNIVERSARY
28,Dua Lipa,We're Good
30,Black Eyed Peas & Shakira,GIRL LIKE ME
31,Glass Animals,Heat Waves
32,SZA,Good Days
33,Justin Bieber,Anyone
34,Pooh Shiesty,Back In Blood
35,Nipsey Hussle & Jay-Z,What It Feels Like
36,Vedo,You Got It
37,Chris Brown & Young Thug,Go Crazy
38,Pop Smoke,For The Night
39,Taylor Swift,willow
40,Billie Eilish,Therefore I Am
41,The Weeknd,Blinding Lights
42,Gym Class Heroes,Cupid's Chokehold
43,Dua Lipa,Levitating
44,Myke Towers & Juhn,Bandido
45,Selena Gomez & Rauw Alejandro,Baila Conmigo
46,24kGoldn,Mood
47,Pop Smoke,Hello
48,Banda MS de Sergio Lizárraga,La Casita
49,Gabby Barrett,The Good Ones
50,Coi Leray,No More Parties
